Username,Language Spoken,Gender,Location,Followers,Average likes,Average Comments,Engagement
pumpcamp,en,female,,3624,218,20,7.000000000000001
deetrannybear,en,male,,13762,172,5,1.0
hellojonte,en,unknown,,51687,1360,63,3.0
gumminyc,en,unknown,,1930,45,0,2.0
maioshima911,da,male,,74244,3596,51,5.0
littlesunnybiteyoppy,en,female,,72623,894,5,1.0
matushiho,ja,unknown,,6181,486,5,8.0
tenjikunezumikawahara,zh-Hant,unknown,,192146,11090,112,6.0
matsuoshun,unknown,unknown,,22736,2446,17,11.0
aayan1120,en,unknown,,921160,77534,1479,9.0
becky_dayo,ja,unknown,,1372785,29608,156,2.0
japan_wacky,ja,unknown,,89794,2805,23,3.0
murakami_jung,ja,unknown,,14830,636,8,4.0
hayamitakeda,da,male,,2435,69,0,3.0
ezakitakafumi,unknown,male,,3292,213,2,7.000000000000001
katyperry,en,male,,69045796,415315,3711,1.0
beyonce,en,unknown,,113332897,3108958,35430,3.0
matumiho,ja,unknown,,3025,247,6,8.0
_megbaby_,en,unknown,,876774,10686,28,1.0
toromurata,ja,unknown,,52249,9350,445,19.0
wakana__kaneko,en,male,,12030,272,2,2.0
eieioieie,ja,male,,11716,424,2,4.0
kiyokoodo,en,male,,3411,178,3,5.0
kh_kidhulk,unknown,unknown,,951,83,0,9.0
chikatakei,en,male,,17757,800,8,5.0
alisaueno,en,female,,299688,5056,16,2.0
jerryosully,en,male,,2285,127,4,6.0
james_re,en,male,,4250,260,4,6.0
gemmaoaf,en,unknown,,6417,341,6,5.0
lazyoafs,en,male,,697391,20066,348,3.0
reirei045,ja,unknown,,1677,109,3,7.000000000000001
sincerelybeatriz,en,unknown,,98640,197,2,0.0
georgerootnyc,ja,unknown,,50437,1159,6,2.0
malicamcam,unknown,unknown,,298,53,2,18.0
yuyanara,ja,female,,178662,3720,22,2.0
galaxxxyrocks,da,male,,32412,524,2,2.0
badgalriri,en,unknown,,61223383,2075435,22799,3.0
emisuzuki_official,en,male,,1026525,23222,50,2.0
poledancermaki,ja,unknown,,980,49,2,5.0
sakaguchi_kaiju,ja,unknown,,1369,95,1,7.000000000000001
obayashi0406,da,unknown,,11468,687,6,6.0
osadashouhei,ja,unknown,,25321,3570,61,14.000000000000002
sissonne_hasegawa,da,unknown,,25490,1250,8,5.0
kiminobukanenari,ja,unknown,,3541,205,6,6.0
kawashimaakiyoshi,ja,unknown,,32553,1690,12,5.0
hirohisaota,ja,unknown,,139603,8320,24,6.0
graceladoja,en,female,,27802,1527,42,6.0
_izapa,en,male,,2569,74,2,3.0
wangziwen,unknown,unknown,,46690,933,11,2.0
1800holly,en,unknown,,4726,373,18,8.0
yuuivision,en,unknown,,5046,217,5,4.0
corneliusofficial,en,unknown,,17533,1268,9,7.000000000000001
moffygathornehardy,unknown,unknown,,5863,511,8,9.0
hystericglamour_,ja,unknown,,384,57,0,15.0
viride_k,unknown,unknown,,152,14,1,10.0
virgilabloh,en,unknown,,1932232,83761,1889,4.0
benedek___,unknown,unknown,,3011,120,3,4.0
resurrectionvintage,unknown,unknown,,23077,221,6,1.0
miki_ehara,ja,unknown,,13721,1278,28,10.0
fujiwarahiroshi,unknown,unknown,,251070,2249,6,1.0
kohei_326,da,unknown,,4677,534,8,12.0
thibault_restage,en,male,,760,85,1,11.0
lanzybear,en,male,,171919,2425,61,1.0
hannamoon69,en,female,,10703,529,12,5.0
yuming_official,ja,male,,15721,1525,49,10.0
susiebubble,en,female,,409294,3616,37,1.0
moonchild,en,male,,104494,1771,27,2.0
ines.alpha,en,male,,7899,810,19,10.0
